iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,MDV,0,0,0,0,0,0,0,0,15595.964,15595.964,15591.325084521484,15590.732566612613
ABW,MEX,0,1,0,0,0,0,0,0,3197.7773,3197.7773,3516.020818951416,3433.2519611306975
ABW,MHL,0,0,1,0,0,0,0,0,12908.488,12908.488,13034.26682475586,13032.871351718584
ABW,MKD,0,0,0,0,0,0,0,0,9214.088,9214.088,9217.800480786133,9217.653855450098
ABW,MLI,0,0,0,0,0,0,0,0,6729.1143,6729.1143,6799.604262585449,6792.551888521624
ABW,MLT,0,0,1,0,0,0,0,0,8723.98,8723.98,8711.659522070313,8711.655454640182
ABW,MMR,0,0,0,0,0,0,0,0,16436.57,16436.57,16303.357826464844,16299.337915346114
ABW,MNG,0,0,0,0,0,0,0,0,13299.098,13299.098,13300.457067358398,13298.899925466061
ABW,MNP,0,0,1,0,0,0,0,0,15020.247,15020.247,15045.627013183594,15045.58631599581
ABW,MOZ,0,0,0,0,0,0,0,0,11878.692,11878.692,12049.379153710937,12044.733236155007
ABW,MRT,0,0,0,0,0,0,0,0,5824.1143,5824.1143,5932.266212731934,5923.607963961406
ABW,MSR,0,0,1,0,0,0,0,0,966.2597,966.2597,,
ABW,MTQ,0,0,0,0,0,0,0,0,1001.7257,1001.7257,998.6533545043945,998.5740795003353
ABW,MUS,0,0,1,0,0,0,0,0,14395.8125,14395.8125,14382.701494970703,14382.693196522461
ABW,MWI,0,0,1,0,0,0,0,0,11828.456,11828.456,11885.311883081054,11884.639406021379
ABW,MYS,0,0,0,0,0,0,0,0,18066.889,18066.889,18042.021029785155,18040.247638288365
ABW,NAM,0,0,1,0,0,0,0,0,10267.962,10267.962,10238.198047827149,10235.290728581824
ABW,NCL,0,0,0,0,0,0,0,0,13964.526,13964.526,13994.367111108399,13993.971168517926
ABW,NER,0,0,0,0,0,0,0,0,7796.389,7796.389,8090.482294726562,8078.542767709761
ABW,NFK,0,0,1,0,0,0,0,0,13783.122,13783.122,13783.781798144531,13783.780776349484
ABW,NGA,0,0,1,0,0,0,0,0,8081.917,8425.322,8276.09084736328,8269.742228355391
ABW,NIC,0,1,0,0,0,0,0,0,1761.9291,1761.9291,1764.1748908813477,1761.101345110239
ABW,NIU,0,0,1,0,0,0,0,0,11484.714,11484.714,11492.943248144531,11492.940199045419
ABW,NLD,0,1,1,1,0,1,1,0,7896.8965,7896.8965,7908.407444287109,7908.110379007766
ABW,NOR,0,0,0,0,0,0,0,0,8301.125,8301.125,8240.808437866212,8238.26490659508
ABW,NPL,0,0,0,0,0,0,0,0,14828.1,14828.1,14806.045618847656,14804.42698220699
ABW,NRU,0,0,1,0,0,0,0,0,13604.612,13604.612,13620.229220629883,13620.224504265247
ABW,NZL,0,0,1,0,0,0,0,0,12981.523,12981.523,13079.86588449707,13079.111103978375
ABW,OMN,0,0,0,0,0,0,0,0,13155.516,13155.516,13071.641009936524,13071.03203281884
ABW,PAK,0,0,1,0,0,0,0,0,13581.605,13581.605,13748.664404760742,13747.847650509208
ABW,PAL,0,0,0,0,0,0,0,0,10625.237,10625.237,10642.144920483399,10642.056833903924
ABW,PAN,0,1,0,0,0,0,0,0,1102.9749,1102.9749,1182.3857328674317,1171.2761459208757
ABW,PCN,0,0,1,0,0,0,0,0,7735.013,7735.013,,
ABW,PER,0,1,0,0,0,0,0,0,2848.861,2848.861,2758.857643383789,2724.568821436491
ABW,PHL,0,0,1,0,0,0,0,0,16773.428,16773.428,16868.519155468748,16866.914707086893
ABW,PLW,0,0,1,0,0,0,0,0,16527.85,16527.85,16541.40535673828,16541.350988256298
ABW,PNG,0,0,1,0,0,0,0,0,15957.224,15957.224,15932.051141015625,15927.285951301892
ABW,POL,0,0,0,0,0,0,0,0,8990.023,8990.023,8884.096645703125,8882.147760179894
ABW,PRI,0,1,1,0,0,0,0,0,781.5696,781.5696,764.2043050750732,763.2674468585477
ABW,PRK,0,0,0,0,0,0,0,0,14063.867,14063.867,13996.792062182616,13995.247133267667
ABW,PRT,0,0,0,0,0,0,0,0,6637.4243,6637.4243,6626.685056164551,6621.537088874745
ABW,PRY,0,1,0,0,0,0,0,0,4418.0757,4418.0757,4436.560161950683,4435.109330517585
ABW,PYF,0,0,0,0,0,0,0,0,9348.107,9348.107,9363.776091967773,9363.463248406022
ABW,QAT,0,0,0,0,0,0,0,0,12436.231,12436.231,12418.488767480469,12418.474907907495
ABW,REU,0,0,0,0,0,0,0,0,14183.826,14183.826,14168.520009423828,14168.501377418184
ABW,ROM,0,0,0,0,0,0,0,0,9528.119,9528.119,9448.061214990234,9445.321494317046
ABW,RUS,0,0,0,0,0,0,0,0,9942.475,9942.475,10523.265347998047,10451.282281336533
ABW,RWA,0,0,1,0,0,0,0,0,11168.009,11168.009,11138.653652929686,11138.531112351333
ABW,SAU,0,0,0,0,0,0,0,0,12028.872,12028.872,11731.109825756836,11720.168909432234
ABW,SDN,0,0,0,0,0,0,0,0,10960.457,10960.457,10934.822213745118,10927.767063430438
ABW,SEN,0,0,0,0,0,0,0,0,5688.1304,5688.1304,5733.223383996582,5731.908386870575
ABW,SGP,0,0,1,0,0,0,0,0,18355.379,18355.379,18355.23261386719,18355.231149820444
ABW,SHN,0,0,1,0,0,0,0,0,7763.898,7763.898,7507.777002612304,7463.466463541131
ABW,SLB,0,0,0,0,0,0,0,0,14562.644,14562.644,14593.494649658203,14592.632909398655
ABW,SLE,0,0,1,0,0,0,0,0,6222.756,6222.756,6281.981129101562,6280.436902013643
ABW,SLV,0,1,0,0,0,0,0,0,2070.0093,2070.0093,2081.7147101013184,2080.9555112950857
ABW,SMR,0,0,0,0,0,0,0,0,8461.912,8461.912,8454.992280786133,8454.991886486761
